"title","title href","logoImage src","comp-name","comp-name href","rating href","main-2","review","expwdth","ni-job-tuple-icon","locWdth","job-desc","dot-gt","dot-gt 2","dot-gt 3","dot-gt 4","dot-gt 5","dot-gt 6","dot-gt 7","dot-gt 8","job-post-day"
"Analyst-Data Science","https://www.naukri.com/job-listings-analyst-data-science-american-express-company-gurugram-0-to-4-years-140525500991","https://img.naukimg.com/logo_images/groups/v1/82242.gif","AMERICAN EXPRESS","https://www.naukri.com/american-express-jobs-careers-2256","https://www.ambitionbox.com/reviews/american-express-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","4.1","3331  Reviews","0-4 Yrs","Not disclosed","Gurugram",". MBA, Master s Degree In Economics, Statistics Or Related Fields From Top Tier Institu...","Career development","SAS","Finance","Analytical","Billing","Machine learning","Wellness","Risk management","5 Days Ago"
"Hiring For Data Analyst & Data Science at Pune","https://www.naukri.com/job-listings-hiring-for-data-analyst-data-science-at-pune-dasa-technoworld-pune-0-to-3-years-120425006691","https://media.naukri.com/media/alpha/D160x160","DASA Technoworld","https://www.naukri.com/dtechnogenics-jobs-careers-6882705","https://www.ambitionbox.com/reviews/dtechnogenics-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","4.1","4  Reviews","0-3 Yrs","Not disclosed","Pune","Opening for Data Science or Data Analyst Trainer Experience: Fresher - 2 years Skills: ...","Data Science","Data Analytics","Data Analyst Trainer","Data Scientist","Data Analysis","Good Comm Skills","Data Analyst","Data Science Trainer","9 Days Ago"
"Data Science Analyst - Product Analytics","https://www.naukri.com/job-listings-data-science-analyst-product-analytics-jpmorgan-chase-bengaluru-0-to-3-years-150525504435","https://img.naukimg.com/logo_images/groups/v1/240936.gif","JPMorgan Chase Bank","https://www.naukri.com/jpmorgan-chase-bank-jobs-careers-183700","https://www.ambitionbox.com/reviews/jpmorgan-chase-and-co-dot-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","3.9","6612  Reviews","0-3 Yrs","Not disclosed","Bengaluru","Required Qualifications, Capabilities, and Skills Preferred Qualifications, Capabilitie...","Sales","Staffing","Consulting","Machine learning","Agile","data visualization","Analytics","Financial services","4 Days Ago"
"Walk-In Fresher's /Exp For Global MNCs -Data-Science/Data-Engineer/MIS","https://www.naukri.com/job-listings-walk-in-fresher-s-exp-for-global-mncs-data-science-data-engineer-mis-wisdom-bridge-consultants-kolkata-bhopal-siliguri-visakhapatnam-thane-jabalpur-mangaluru-ahmedabad-jaipur-0-to-2-years-170525020202","https://img.naukimg.com/logo_images/groups/v1/2144764.gif","Wisdom Bridge Consultants","https://www.naukri.com/wisdom-bridge-consultants-jobs-careers-2758766","","","","0-2 Yrs","2.5-3.5 Lacs PA","Kolkata, Bhopal, Siliguri, Visakhapatnam, Thane, Jabalpur, Mangaluru, Ahmedabad, Jaipur","Contact Aswini -8147492898, 080-49546910 Walk-in any Freshers 2018-2025 Big MNCs for MI...","MIS Operations","Advanced Excel","MIS Reporting","VLOOKUP","Data Validation","MIS Preparation","Business Intelligence","Data Engineering","2 Days Ago"
"Data Science  Analyst","https://www.naukri.com/job-listings-data-science-analyst-pepsico-global-business-services-india-llp-hyderabad-1-to-3-years-070525914680","https://img.naukimg.com/logo_images/groups/v1/235536.gif","Pepsico","https://www.naukri.com/pepsico-jobs-careers-28272","https://www.ambitionbox.com/reviews/pepsico-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","4.0","2691  Reviews","1-3 Yrs","Not disclosed","Hyderabad","Leverage big data technologies to help process data and build scaled data pipelines (ba...","python","pyspark","machine learning","ml","statistics","hive","data analytics","supply chain","12 Days Ago"
"Data Science Actuarial Analyst","https://www.naukri.com/job-listings-data-science-actuarial-analyst-swiss-re-bengaluru-1-to-4-years-190525506260","https://img.naukimg.com/logo_images/groups/v1/207088.gif","Swiss Re","https://www.naukri.com/swiss-re-jobs-careers-371985","https://www.ambitionbox.com/reviews/swiss-re-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","3.8","276  Reviews","1-4 Yrs","Not disclosed","Bengaluru","Experience in supporting the delivery of technical pricing, reserving or other modellin...","r","data science","writing","statistical modeling","gitmarkdown","machine learning","Actuarial","Modeling","1 Day Ago"
"Data Science Analyst","https://www.naukri.com/job-listings-data-science-analyst-deutsche-bank-ag-pune-2-to-4-years-150525916588","https://img.naukimg.com/logo_images/groups/v1/468918.gif","Deutsche Bank","https://www.naukri.com/deutsche-bank-jobs-careers-39012","https://www.ambitionbox.com/reviews/deutsche-bank-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","3.8","3782  Reviews","2-4 Yrs","Not disclosed","Pune",", preferably a Masters or Doctoral degree  Data Management: Oversee the management of d...","python","machine learning","artificial intelligence","tensorflow","data science","continuous integration","continuum","data management","4 Days Ago"
"Data Science professional","https://www.naukri.com/job-listings-data-science-professional-wipro-limited-hyderabad-3-to-5-years-190525903873","https://img.naukimg.com/logo_images/groups/v1/41608.gif","Wipro","https://www.naukri.com/wipro-jobs-careers-1384","https://www.ambitionbox.com/reviews/wipro-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","3.7","56207  Reviews","3-5 Yrs","Not disclosed","Hyderabad","Experience with natural language processing (NLP) and machine learning (ML). On-Time De...","Data Science","deep learning","Computer vision","PyTorch","Langchain","GCP","MIS","Cognitive AI","1 Day Ago"
"Manager/Sr. Manager- Data Science","https://www.naukri.com/job-listings-manager-sr-manager-data-science-havells-noida-2-to-7-years-060525023500","https://img.naukimg.com/logo_images/groups/v1/19674.gif","Havells","https://www.naukri.com/havells-jobs-careers-17494","https://www.ambitionbox.com/reviews/havells-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri","3.9","3757  Reviews","2-7 Yrs","Not disclosed","Noida","Preferred candidate profile Predictive Analytics & Advanced Data Science - Build & main...","Analytics","Pyspark","SAS","Python Data Analytics","Python","SQL","Data Science","SR","13 Days Ago"
"Data Science Specialist","https://www.naukri.com/job-listings-data-science-specialist-strategic-alliance-management-services-sams-lucknow-3-to-5-years-160525032223","https://img.naukimg.com/logo_images/groups/v1/1468088.gif","Strategic Alliance Management Services (SAMS)","https://www.naukri.com/strategic-alliance-management-services-sams-jobs-careers-1170","","","","3-5 Yrs","Not disclosed","Lucknow","A master degree or higher such as PhD, M Tech, MCA, MSc Proficiency in Python, SQL and ...","Excel","Python","SQL","Python Data Analytics","Data Science","Python Data","Data analytics","Science","3 Days Ago"
